observation_date,ZAFLOCOSIORSTM
2020-01-01,2.1587412587412600
2020-02-01,2.6010000000000000
2020-03-01,4.7616090909090998
2020-04-01,6.1343707093821802
2020-05-01,5.9160000000000004
2020-06-01,5.8568952380952402
2020-07-01,6.3192914653783694
2020-08-01,6.4941000000000004
2020-09-01,6.7693142857142998
2020-10-01,6.9178956228956601
2020-11-01,6.3736380952380998
2020-12-01,6.0286309523809507
2021-01-01,5.9006999999999996
2021-02-01,5.7344999999999997
2021-03-01,6.2721272727272996
2021-04-01,6.2542105263158403
2021-05-01,6.2114285714285700
2021-06-01,5.7690476190476199
2021-07-01,5.7500000000000000
2021-08-01,5.8423809523809505
2021-09-01,5.7880952380952300
2021-10-01,6.3080952380952304
2021-11-01,6.2109523809523797
2021-12-01,6.0295238095238100
2022-01-01,5.9604761904761903
2022-02-01,6.6745000000000001
2022-03-01,5.8745454545454203
2022-04-01,5.8100000000000307
2022-05-01,5.8647619047618598
2022-06-01,5.8099999999999996
2022-07-01,6.0371428571428201
2022-08-01,5.1863636363636303
2022-09-01,5.4713636363636304
2022-10-01,5.5084761904762001
2022-11-01,5.0968181818182305
2022-12-01,4.7784210526315603
2023-01-01,4.5047619047618603
2023-02-01,4.4645000000000001
2023-03-01,4.1018181818181700
2023-04-01,3.5400000000000400
2023-05-01,3.8977272727272800
2023-06-01,3.4538095238095101
2023-07-01,3.1566666666666499
2023-08-01,3.2786363636363700
2023-09-01,3.7400000000000002
2023-10-01,3.8072727272727200
2023-11-01,3.2718181818181402
2023-12-01,3.0383333333333802
